Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12°4'14.03'',Longitud:77°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/01/01,00:00,21.5,0.0,87,247,1.7
2024/01/01,01:00,21.4,0.0,88,249,1.6
2024/01/01,02:00,21.2,0.0,88,253,1.2
2024/01/01,03:00,21.3,0.0,88,242,0.8
2024/01/01,04:00,21.2,0.0,89,233,1.2
2024/01/01,05:00,21.2,0.0,88,225,1.2
2024/01/01,06:00,21.4,0.0,86,242,0.6
2024/01/01,07:00,21.6,0.0,85,235,1.0
2024/01/01,08:00,21.8,0.0,84,234,1.5
2024/01/01,09:00,22.3,0.0,82,240,0.9
2024/01/01,10:00,23.1,0.0,78,234,1.7
2024/01/01,11:00,24.2,0.0,76,234,1.2
2024/01/01,12:00,25.4,0.0,70,239,1.5
2024/01/01,13:00,25.1,0.0,74,223,1.7
2024/01/01,14:00,25.2,0.0,75,226,1.9
2024/01/01,15:00,24.7,0.0,75,220,2.3
2024/01/01,16:00,23.6,0.0,81,234,2.3
2024/01/01,17:00,22.9,0.0,81,229,2.0
2024/01/01,18:00,23.0,0.0,80,240,1.8
2024/01/01,19:00,22.5,0.0,82,255,0.6
2024/01/01,20:00,22.6,0.0,80,266,0.8
2024/01/01,21:00,22.3,0.0,82,259,1.0
2024/01/01,22:00,22.3,0.0,82,258,1.2
2024/01/01,23:00,22.1,0.0,83,267,1.0
2024/01/02,00:00,22.0,0.0,85,253,1.1
2024/01/02,01:00,21.7,0.0,86,238,1.2
2024/01/02,02:00,21.5,0.0,89,251,1.1
2024/01/02,03:00,21.4,0.0,90,250,1.0
2024/01/02,04:00,21.3,0.0,91,251,1.1
2024/01/02,05:00,21.2,0.0,91,238,1.3
2024/01/02,06:00,21.3,0.0,90,252,0.6
2024/01/02,07:00,21.4,0.0,89,255,0.8
2024/01/02,08:00,22.1,0.0,86,239,1.2
2024/01/02,09:00,22.8,0.0,84,242,1.4
2024/01/02,10:00,24.9,0.0,76,227,1.2
2024/01/02,11:00,25.0,0.0,76,231,2.1
2024/01/02,12:00,26.0,0.0,73,233,2.0
2024/01/02,13:00,25.3,0.0,74,226,2.1
2024/01/02,14:00,26.3,0.0,71,239,1.9
2024/01/02,15:00,25.1,0.0,75,233,2.6
2024/01/02,16:00,24.2,0.0,81,235,1.7
2024/01/02,17:00,23.6,0.0,81,231,2.2
2024/01/02,18:00,23.8,0.0,76,238,1.3
2024/01/02,19:00,22.4,0.0,79,248,1.3
2024/01/02,20:00,22.1,0.0,81,245,2.0
